mandi_id,state,district,mandi,lat,lon,location_quality,dist_from_state_km
9888092174,Andhra Pradesh,Guntur,"MANGALAGIRI(SLNS TEMPLE),RBZ APMC",16.436405,80.571498,exact,197.16783739386346
7194799303,Andhra Pradesh,Guntur,NARASARAOPET APMC,16.498648000000003,80.49365040003681,approx,192.79611441894667
6701974187,Andhra Pradesh,Guntur,"NR. CO-OP CENTRAL BANK(TEN),RBZ APMC",16.498648000000003,80.49365040003681,approx,192.79611441894667
8489369963,Andhra Pradesh,Guntur,"OPP:SWAMI THEATRE, ,RBZ,GUNTUR APMC",16.513824,80.5142766,approx,190.5345601802822
6006910123,Andhra Pradesh,Guntur,PIDUGURALA APMC,16.513824,80.5142766,approx,190.5345601802822
2865487749,Andhra Pradesh,Guntur,PIDUGURALA(PALNADU) APMC,16.513824,80.5142766,approx,190.5345601802822
4279087940,Andhra Pradesh,Guntur,PONNUR APMC,16.498648000000003,80.49365040003681,approx,192.79611441894667
4641023373,Andhra Pradesh,Guntur,PRATHIPADU APMC,16.498648000000003,80.49365040003681,approx,192.79611441894667
8745523683,Andhra Pradesh,Guntur,REPALLI APMC,16.498648000000003,80.49365040003681,approx,192.79611441894667
258436358,Andhra Pradesh,Guntur,SATTENAPALLI APMC,16.498648000000003,80.49365040003681,approx,192.79611441894667
6365336897,Andhra Pradesh,Guntur,TADIKONDA APMC,16.498648000000003,80.49365040003681,approx,192.79611441894667
8305672462,Andhra Pradesh,Guntur,TENALI APMC,16.498648000000003,80.49365040003681,approx,192.79611441894667
6015715710,Andhra Pradesh,Guntur,VINUKONDA APMC,16.498648000000003,80.49365040003681,approx,192.79611441894667
1994771507,Andhra Pradesh,Krishna,"BAPULAPADU,RBZ APMC",16.5085935,80.7202522,approx,185.89263108582796
8035364145,Andhra Pradesh,Krishna,DIVI APMC,16.5085935,80.7202522,approx,185.89263108582796
49518924,Andhra Pradesh,Krishna,GANNAVARAM APMC,16.5085935,80.7202522,approx,185.89263108582796
196451486,Andhra Pradesh,Krishna,GHANTSALA HQ KODALI APMC,16.5085935,80.7202522,approx,185.89263108582796
311023458,Andhra Pradesh,Krishna,GUDIWADA APMC,16.5085935,80.7202522,approx,185.89263108582796
658868124,Andhra Pradesh,Krishna,GUDLAVALLERU APMC,16.5085935,80.7202522,approx,185.89263108582796
5982831454,Andhra Pradesh,Krishna,JAGGAYYAPETA APMC,16.5085935,80.7202522,approx,185.89263108582796
5552126470,Andhra Pradesh,Krishna,KAIKALURU APMC,16.5085935,80.7202522,approx,185.89263108582796
6426530995,Andhra Pradesh,Krishna,KALIDINDI APMC,16.5085935,80.7202522,approx,185.89263108582796
3374045151,Andhra Pradesh,Krishna,KANCHEKACHERLA APMC,16.5085935,80.7202522,approx,185.89263108582796
1502166027,Andhra Pradesh,Krishna,"KEDARESHWARI PETA, VIJAYAWADA,RBZ APMC",16.5085935,80.7202522,approx,185.89263108582796
2506272479,Andhra Pradesh,Krishna,MACHILIPATNAM APMC,16.5085935,80.7202522,approx,185.89263108582796
5051214695,Andhra Pradesh,Krishna,MALLESWARAM APMC,16.5085935,80.7202522,approx,185.89263108582796
7085570931,Andhra Pradesh,Krishna,MOVVA HQS APMC,16.5085935,80.7202522,approx,185.89263108582796
2139946857,Andhra Pradesh,Krishna,MYLAVARAM APMC,16.5085935,80.7202522,approx,185.89263108582796
6397600265,Andhra Pradesh,Krishna,NANDIGAMA APMC,16.5085935,80.7202522,approx,185.89263108582796
9500355834,Andhra Pradesh,Krishna,NUZVID APMC,16.5085935,80.7202522,approx,185.89263108582796
1288501940,Andhra Pradesh,Krishna,PAMARRU APMC,16.5085935,80.7202522,approx,185.89263108582796
6941731466,Andhra Pradesh,Krishna,"PATAMATA,RBZ APMC",16.5085935,80.7202522,approx,185.89263108582796
947902740,Andhra Pradesh,Krishna,PEDANA APMC,16.5085935,80.7202522,approx,185.89263108582796
1984494826,Andhra Pradesh,Krishna,PENAMALURU APMC,16.5085935,80.7202522,approx,185.89263108582796
4580404888,Andhra Pradesh,Krishna,"VIJAYAWADA(S.MAIDAN),RBZ APMC",16.5085935,80.7202522,approx,185.89263108582796
7318051021,Andhra Pradesh,Krishna,VUYYUR APMC,16.5085935,80.7202522,approx,185.89263108582796
5066981830,Andhra Pradesh,Kurnool,ALLAGADDA APMC,17.62787625,83.15818874784765,approx,231.65364814385197
2864630336,Andhra Pradesh,Kurnool,ATMAKUR APMC,17.4670663,79.1383726,exact,215.20634527892466
6896350696,Andhra Pradesh,Kurnool,"C.CAMP,RBZ APMC",17.62787625,83.15818874784765,approx,231.65364814385197
2819607837,Andhra Pradesh,Kurnool,DHONE APMC,17.62787625,83.15818874784765,approx,231.65364814385197
3620181877,Andhra Pradesh,Kurnool,KODUMUR APMC,17.62787625,83.15818874784765,approx,231.65364814385197
6474553209,Andhra Pradesh,Kurnool,KOILKUNTA APMC,17.62787625,83.15818874784765,approx,231.65364814385197
5643316438,Andhra Pradesh,Kurnool,"KOTHPET,RBZ APMC",17.62787625,83.15818874784765,approx,231.65364814385197
9707763968,Andhra Pradesh,Kurnool,KURNOOL(RYTHU BAZAR) APMC,17.62787625,83.15818874784765,approx,231.65364814385197
6622260629,Andhra Pradesh,Kurnool,NANDIKOTKUR APMC,17.62787625,83.15818874784765,approx,231.65364814385197
9072787669,Andhra Pradesh,Kurnool,NANDYAL APMC,17.62787625,83.15818874784765,approx,231.65364814385197
9293338650,Andhra Pradesh,Kurnool,PATTIKONDA APMC,17.62787625,83.15818874784765,approx,231.65364814385197
1001534907,Andhra Pradesh,Kurnool,YEMMIGANUR APMC,17.62787625,83.15818874784765,approx,231.65364814385197
6368985535,Andhra Pradesh,Nandyal,PANYAM APMC,17.62787625,83.15818874784765,approx,231.65364814385197
8602219678,Andhra Pradesh,Nellore,ATMAKUR(SPS) APMC,16.5085935,80.7202522,approx,185.89263108582796
2061126555,Andhra Pradesh,Nellore,GUDUR APMC,17.62787625,83.15818874784765,approx,231.65364814385197
7143911655,Andhra Pradesh,Nellore,NELLORE APMC,17.62787625,83.15818874784765,approx,231.65364814385197
5471229195,Andhra Pradesh,Nellore,SARVEPALLI APMC,17.62787625,83.15818874784765,approx,231.65364814385197
6073912450,Andhra Pradesh,Nellore,SULLURPET APMC,17.62787625,83.15818874784765,approx,231.65364814385197
4338141574,Andhra Pradesh,Nellore,UDAYAGIRI APMC,17.62787625,83.15818874784765,approx,231.65364814385197
