t,market_id,market_name,district_name,variety,p_min,p_max,p_modal,clean_market,match_score,latitude,longitude,t2m_mean,t2m_max,t2m_min,d2m_mean,precip_sum_mm,wind_speed_mean
2020-12-25,230,Jalalabad,Firozpur,Other,1200.0,1200.0,1200,JALALABAD,94.11764705882352,30.6056,74.2492,14.123916625976562,18.314849853515625,8.790283203125,8.807182312011719,0.0031709661707282066,0.9521750807762146
2020-12-25,237,Khanna,Ludhiana,Other,1000.0,2000.0,1400,KHANNA,100.0,30.7104,76.2141,11.944717407226562,16.33050537109375,6.745361328125,9.065971374511719,0.0030070533975958824,2.430276393890381
2020-12-25,1612,Kharar,Sahibzada Ajit Singh Nagar,Other,2000.0,2600.0,2300,KHARAR,100.0,30.7398,76.6414,11.836807250976562,16.90081787109375,5.827392578125,8.472221374511719,0.002157687209546566,2.4310269355773926
2020-12-25,228,Kotkapura,Faridkot,Red,2000.0,2500.0,2200,KOTKAPURA,100.0,30.5845,74.8364,13.404190063476562,17.502349853515625,7.612548828125,8.570854187011719,0.006680190097540617,1.36113703250885
2020-12-25,822,Lalru,Sahibzada Ajit Singh Nagar,Other,1500.0,2100.0,2000,LALRU,100.0,30.4898,76.8054,12.332412719726562,17.51409912109375,6.671142578125,8.143119812011719,0.002157687209546566,2.6499006748199463
2020-12-25,1597,Ludhiana,Ludhiana,Other,1200.0,2150.0,1700,LUDHIANA,100.0,30.9392,75.8426,11.397354125976562,15.59808349609375,5.632080078125,8.789604187011719,0.002977251075208187,2.178955078125
2020-12-25,249,Malerkotla,Sangrur,Other,1700.0,2700.0,2200,MALERKOTLA,100.0,30.5177,75.8843,12.095108032226562,16.75042724609375,6.649658203125,8.638236999511719,0.004303454887121916,2.240293264389038
2020-12-25,242,Malout,Muktsar,Onion,1600.0,2000.0,1800,MALOUT,100.0,30.201,74.4964,13.721084594726562,18.77386474609375,7.128173828125,8.072807312011719,0.002157687209546566,1.561938762664795
2020-12-25,1575,Maur,Bathinda,Other,2400.0,2600.0,2500,MAUR,100.0,30.0747,75.2199,13.072158813476562,18.30902099609375,6.884033203125,7.998588562011719,0.002157687209546566,1.9066317081451416
2020-12-25,241,Muktsar,Muktsar,Nasik,1500.0,2500.0,2000,MUKTSAR,100.0,30.4721,74.5073,14.016983032226562,18.05316162109375,8.733642578125,8.796928405761719,0.002157687209546566,1.2155649662017822
